ANNO;GRUPO;ESTUDIO;CURSO
2025;3ºC DIVER;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;3ºD NBL;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;X 3º;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;3ºB DIVER;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;3ºA BL;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;3ºB NBL;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;3ºC NBL;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;B 3º;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;3ºA NBL;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;F 3º;Educación Secundaria Obligatoria;3º de ESO (LOMLOE)
2025;F 4º;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;4ºB NBL;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;4ºC BL;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;4ºD NBL;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;B 4º;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;4ºA NBL;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;4ºB BL;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;X 4º;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;4ºD DIVER;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;4ºC NBL;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;4ºA DIVER;Educación Secundaria Obligatoria;4º de ESO (LOMLOE)
2025;XCUR CIBER;CEGS (Presencial) Ciberseguridad en entornos de las tecnologías de información;Curso de Esp. en Ciberseguridad en entornos de las tecnologías de la información (LOFP)
2025;CUR CIBER;CEGS (Presencial) Ciberseguridad en entornos de las tecnologías de información;Curso de Esp. en Ciberseguridad en entornos de las tecnologías de la información (LOFP)
2025;XCUR INTEL;CEGS Inteligencia Artificial y Big Data;Curso de Esp. en Inteligencia artificial y Big Data (LOFP)
2025;CUR INTEL;CEGS Inteligencia Artificial y Big Data;Curso de Esp. en Inteligencia artificial y Big Data (LOFP)
2025;1º BACH B;Bachillerato;1º de Bachillerato - Ciencias y Tecnología (LOMLOE)
2025;1º BACH C;Bachillerato;1º de Bachillerato - Ciencias y Tecnología (LOMLOE)
2025;B C 1º;Bachillerato;1º de Bachillerato - Ciencias y Tecnología (LOMLOE)
2025;X C 1º;Bachillerato;1º de Bachillerato - Ciencias y Tecnología (LOMLOE)
2025;2º BACH B;Bachillerato;2º de Bachillerato - Ciencias y Tecnología (LOMLOE)
2025;B C 2º;Bachillerato;2º de Bachillerato - Ciencias y Tecnología (LOMLOE)
2025;X C 2º;Bachillerato;2º de Bachillerato - Ciencias y Tecnología (LOMLOE)
2025;2º BACH C;Bachillerato;2º de Bachillerato - Ciencias y Tecnología (LOMLOE)
2025;1º BACH B;Bachillerato;1º de Bachillerato - Humanidades y Ciencias Sociales (LOMLOE)
2025;X H 1º;Bachillerato;1º de Bachillerato - Humanidades y Ciencias Sociales (LOMLOE)
2025;1º BACH A;Bachillerato;1º de Bachillerato - Humanidades y Ciencias Sociales (LOMLOE)
2025;B H 1º;Bachillerato;1º de Bachillerato - Humanidades y Ciencias Sociales (LOMLOE)
2025;2º BACH B;Bachillerato;2º de Bachillerato - Humanidades y Ciencias Sociales (LOMLOE)
2025;B H 2º;Bachillerato;2º de Bachillerato - Humanidades y Ciencias Sociales (LOMLOE)
2025;X H 2º;Bachillerato;2º de Bachillerato - Humanidades y Ciencias Sociales (LOMLOE)
2025;2º BACH A;Bachillerato;2º de Bachillerato - Humanidades y Ciencias Sociales (LOMLOE)
